"caso","semilla_instancia","configuracion","semilla","generacion","mejor_makespan"
"Base","proporcionada","A",1,1,300
"Base","proporcionada","A",1,2,300
"Base","proporcionada","A",1,3,300
"Base","proporcionada","A",1,4,300
"Base","proporcionada","A",1,5,300
"Base","proporcionada","A",1,6,300
"Base","proporcionada","A",1,7,300
"Base","proporcionada","A",1,8,300
"Base","proporcionada","A",1,9,300
"Base","proporcionada","A",1,10,300
"Base","proporcionada","A",1,11,300
"Base","proporcionada","A",1,12,300
"Base","proporcionada","A",1,13,300
"Base","proporcionada","A",1,14,300
"Base","proporcionada","A",1,15,300
"Base","proporcionada","A",1,16,300
"Base","proporcionada","A",1,17,300
"Base","proporcionada","A",1,18,300
"Base","proporcionada","A",1,19,300
"Base","proporcionada","A",1,20,300
"Base","proporcionada","A",1,21,300
"Base","proporcionada","A",1,22,300
"Base","proporcionada","A",1,23,300
"Base","proporcionada","A",1,24,300
"Base","proporcionada","A",1,25,300
"Base","proporcionada","A",1,26,300
"Base","proporcionada","A",1,27,300
"Base","proporcionada","A",1,28,300
"Base","proporcionada","A",1,29,300
"Base","proporcionada","A",1,30,300
"Base","proporcionada","A",1,31,300
"Base","proporcionada","A",1,32,300
"Base","proporcionada","A",1,33,300
"Base","proporcionada","A",1,34,300
"Base","proporcionada","A",1,35,300
"Base","proporcionada","A",1,36,300
"Base","proporcionada","A",1,37,300
"Base","proporcionada","A",1,38,300
"Base","proporcionada","A",1,39,300
"Base","proporcionada","A",1,40,300
"Base","proporcionada","A",1,41,300
"Base","proporcionada","A",1,42,300
"Base","proporcionada","A",1,43,300
"Base","proporcionada","A",1,44,300
"Base","proporcionada","A",1,45,300
"Base","proporcionada","A",1,46,300
"Base","proporcionada","A",1,47,300
"Base","proporcionada","A",1,48,300
"Base","proporcionada","A",1,49,300
"Base","proporcionada","A",1,50,300
"Base","proporcionada","A",2,1,300
"Base","proporcionada","A",2,2,300
"Base","proporcionada","A",2,3,300
"Base","proporcionada","A",2,4,300
"Base","proporcionada","A",2,5,300
"Base","proporcionada","A",2,6,300
"Base","proporcionada","A",2,7,300
"Base","proporcionada","A",2,8,300
"Base","proporcionada","A",2,9,300
"Base","proporcionada","A",2,10,300
"Base","proporcionada","A",2,11,300
"Base","proporcionada","A",2,12,300
"Base","proporcionada","A",2,13,300
"Base","proporcionada","A",2,14,300
"Base","proporcionada","A",2,15,300
"Base","proporcionada","A",2,16,300
"Base","proporcionada","A",2,17,300
"Base","proporcionada","A",2,18,300
"Base","proporcionada","A",2,19,300
"Base","proporcionada","A",2,20,300
"Base","proporcionada","A",2,21,300
"Base","proporcionada","A",2,22,300
"Base","proporcionada","A",2,23,300
"Base","proporcionada","A",2,24,300
"Base","proporcionada","A",2,25,300
"Base","proporcionada","A",2,26,300
"Base","proporcionada","A",2,27,300
"Base","proporcionada","A",2,28,300
"Base","proporcionada","A",2,29,300
"Base","proporcionada","A",2,30,300
"Base","proporcionada","A",2,31,300
"Base","proporcionada","A",2,32,300
"Base","proporcionada","A",2,33,300
"Base","proporcionada","A",2,34,300
"Base","proporcionada","A",2,35,300
"Base","proporcionada","A",2,36,300
"Base","proporcionada","A",2,37,300
"Base","proporcionada","A",2,38,300
"Base","proporcionada","A",2,39,300
"Base","proporcionada","A",2,40,300
"Base","proporcionada","A",2,41,300
"Base","proporcionada","A",2,42,300
"Base","proporcionada","A",2,43,300
"Base","proporcionada","A",2,44,300
"Base","proporcionada","A",2,45,300
"Base","proporcionada","A",2,46,300
"Base","proporcionada","A",2,47,300
"Base","proporcionada","A",2,48,300
"Base","proporcionada","A",2,49,300
"Base","proporcionada","A",2,50,300
"Base","proporcionada","A",3,1,300
"Base","proporcionada","A",3,2,300
"Base","proporcionada","A",3,3,300
"Base","proporcionada","A",3,4,300
"Base","proporcionada","A",3,5,300
"Base","proporcionada","A",3,6,300
"Base","proporcionada","A",3,7,300
"Base","proporcionada","A",3,8,300
"Base","proporcionada","A",3,9,300
"Base","proporcionada","A",3,10,300
"Base","proporcionada","A",3,11,300
"Base","proporcionada","A",3,12,300
"Base","proporcionada","A",3,13,300
"Base","proporcionada","A",3,14,300
"Base","proporcionada","A",3,15,300
"Base","proporcionada","A",3,16,300
"Base","proporcionada","A",3,17,300
"Base","proporcionada","A",3,18,300
"Base","proporcionada","A",3,19,300
"Base","proporcionada","A",3,20,300
"Base","proporcionada","A",3,21,300
"Base","proporcionada","A",3,22,300
"Base","proporcionada","A",3,23,300
"Base","proporcionada","A",3,24,300
"Base","proporcionada","A",3,25,300
"Base","proporcionada","A",3,26,300
"Base","proporcionada","A",3,27,300
"Base","proporcionada","A",3,28,300
"Base","proporcionada","A",3,29,300
"Base","proporcionada","A",3,30,300
"Base","proporcionada","A",3,31,300
"Base","proporcionada","A",3,32,300
"Base","proporcionada","A",3,33,300
"Base","proporcionada","A",3,34,300
"Base","proporcionada","A",3,35,300
"Base","proporcionada","A",3,36,300
"Base","proporcionada","A",3,37,300
"Base","proporcionada","A",3,38,300
"Base","proporcionada","A",3,39,300
"Base","proporcionada","A",3,40,300
"Base","proporcionada","A",3,41,300
"Base","proporcionada","A",3,42,300
"Base","proporcionada","A",3,43,300
"Base","proporcionada","A",3,44,300
"Base","proporcionada","A",3,45,300
"Base","proporcionada","A",3,46,300
"Base","proporcionada","A",3,47,300
"Base","proporcionada","A",3,48,300
"Base","proporcionada","A",3,49,300
"Base","proporcionada","A",3,50,300
"Base","proporcionada","B",1,1,300
"Base","proporcionada","B",1,2,300
"Base","proporcionada","B",1,3,300
"Base","proporcionada","B",1,4,300
"Base","proporcionada","B",1,5,300
"Base","proporcionada","B",1,6,300
"Base","proporcionada","B",1,7,300
"Base","proporcionada","B",1,8,300
"Base","proporcionada","B",1,9,300
"Base","proporcionada","B",1,10,300
"Base","proporcionada","B",1,11,300
"Base","proporcionada","B",1,12,300
"Base","proporcionada","B",1,13,300
