"caso","trabajos","maquinas","semilla_instancia","configuracion","semilla","mejor_makespan","tiempo_segundos","soluciones_infactivas","porcentaje_infactivas","metodo_kmeans","observacion"
"Base",8,14,"proporcionada","A",1,300,2.337172,0,0,"no_aplica","Poblacion 100% aleatoria"
"Base",8,14,"proporcionada","A",2,300,2.528055,0,0,"no_aplica","Poblacion 100% aleatoria"
"Base",8,14,"proporcionada","A",3,300,2.218217,0,0,"no_aplica","Poblacion 100% aleatoria"
"Base",8,14,"proporcionada","B",1,300,2.242588,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 6 aleatorios"
"Base",8,14,"proporcionada","B",2,300,2.143187,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 6 aleatorios"
"Base",8,14,"proporcionada","B",3,300,2.38093,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 6 aleatorios"
"Base",8,14,"proporcionada","C",1,280,2.251914,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 8 KM perfil2_uso + SPT; orden [4, 5, 8, 7, 3, 1, 6, 2]; 4 aleatorios"
"Base",8,14,"proporcionada","C",2,300,2.577738,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 8 KM perfil2_uso + SPT; orden [4, 5, 8, 7, 3, 1, 6, 2]; 4 aleatorios"
"Base",8,14,"proporcionada","C",3,300,2.101349,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 8 KM perfil2_uso + SPT; orden [4, 5, 8, 7, 3, 1, 6, 2]; 4 aleatorios"
"Base",8,14,"proporcionada","D",1,300,1.964814,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 4 KM perfil1_carga + LPT; orden [2, 6, 3, 7, 1, 5, 8, 4]; 4 KM perfil2_uso + MWR; orden [2, 6, 1, 3, 7, 5, 8, 4]; 4 KM perfil2_uso + MOPNR; orden [2, 6, 1, 7, 5, 8, 4, 3]; 4 aleatorios"
"Base",8,14,"proporcionada","D",2,300,2.158087,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 4 KM perfil1_carga + LPT; orden [2, 6, 3, 7, 1, 5, 8, 4]; 4 KM perfil2_uso + MWR; orden [2, 6, 1, 3, 7, 5, 8, 4]; 4 KM perfil2_uso + MOPNR; orden [2, 6, 1, 7, 5, 8, 4, 3]; 4 aleatorios"
"Base",8,14,"proporcionada","D",3,280,1.652228,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 4 KM perfil1_carga + LPT; orden [2, 6, 3, 7, 1, 5, 8, 4]; 4 KM perfil2_uso + MWR; orden [2, 6, 1, 3, 7, 5, 8, 4]; 4 KM perfil2_uso + MOPNR; orden [2, 6, 1, 7, 5, 8, 4, 3]; 4 aleatorios"
"Mediano",15,14,"1514","A",1,804,2.772949,0,0,"no_aplica","Poblacion 100% aleatoria"
"Mediano",15,14,"1514","A",2,792,2.693114,0,0,"no_aplica","Poblacion 100% aleatoria"
"Mediano",15,14,"1514","A",3,857,2.653027,0,0,"no_aplica","Poblacion 100% aleatoria"
"Mediano",15,14,"1514","B",1,843,2.90802,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 6 aleatorios"
"Mediano",15,14,"1514","B",2,768,3.074039,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 6 aleatorios"
"Mediano",15,14,"1514","B",3,778,3.710898,0,0,"stats.kmeans","14 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 6 aleatorios"
"Mediano",15,14,"1514","C",1,806,3.86223,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 8 KM perfil2_uso + SPT; orden [8, 12, 13, 9, 2, 7, 11, 14, 15, 3, 10, 1, 5, 6, 4]; 4 aleatorios"
"Mediano",15,14,"1514","C",2,841,4.002336,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 8 KM perfil2_uso + SPT; orden [8, 12, 13, 9, 2, 7, 11, 14, 15, 3, 10, 1, 5, 6, 4]; 4 aleatorios"
"Mediano",15,14,"1514","C",3,818,3.649499,0,0,"stats.kmeans","8 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 8 KM perfil2_uso + SPT; orden [8, 12, 13, 9, 2, 7, 11, 14, 15, 3, 10, 1, 5, 6, 4]; 4 aleatorios"
"Mediano",15,14,"1514","D",1,809,3.799308,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 4 KM perfil1_carga + LPT; orden [9, 13, 11, 8, 5, 7, 3, 15, 12, 14, 10, 2, 4, 6, 1]; 4 KM perfil2_uso + MWR; orden [4, 6, 5, 1, 10, 3, 15, 14, 11, 7, 2, 9, 13, 12, 8]; 4 KM perfil2_uso + MOPNR; orden [4, 5, 1, 10, 6, 3, 11, 15, 14, 7, 2, 9, 12, 13, 8]; 4 aleatorios"
"Mediano",15,14,"1514","D",2,900,3.826788,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 4 KM perfil1_carga + LPT; orden [9, 13, 11, 8, 5, 7, 3, 15, 12, 14, 10, 2, 4, 6, 1]; 4 KM perfil2_uso + MWR; orden [4, 6, 5, 1, 10, 3, 15, 14, 11, 7, 2, 9, 13, 12, 8]; 4 KM perfil2_uso + MOPNR; orden [4, 5, 1, 10, 6, 3, 11, 15, 14, 7, 2, 9, 12, 13, 8]; 4 aleatorios"
"Mediano",15,14,"1514","D",3,787,2.96551,0,0,"stats.kmeans","4 KM perfil1_carga + SPT; orden [1, 6, 4, 2, 10, 12, 14, 15, 3, 7, 5, 8, 11, 13, 9]; 4 KM perfil1_carga + LPT; orden [9, 13, 11, 8, 5, 7, 3, 15, 12, 14, 10, 2, 4, 6, 1]; 4 KM perfil2_uso + MWR; orden [4, 6, 5, 1, 10, 3, 15, 14, 11, 7, 2, 9, 13, 12, 8]; 4 KM perfil2_uso + MOPNR; orden [4, 5, 1, 10, 6, 3, 11, 15, 14, 7, 2, 9, 12, 13, 8]; 4 aleatorios"
"Grande",30,20,"3020","A",1,1797,8.659074,0,0,"no_aplica","Poblacion 100% aleatoria"
"Grande",30,20,"3020","A",2,1659,8.041429,0,0,"no_aplica","Poblacion 100% aleatoria"
"Grande",30,20,"3020","A",3,1668,7.465326,0,0,"no_aplica","Poblacion 100% aleatoria"
