"caso","trabajos","maquinas","semilla_instancia","configuracion","mejor_makespan","promedio_makespan","desv_est_makespan","tiempo_promedio_segundos","soluciones_infactivas","porcentaje_infactivas","corridas"
"Base",8,14,"proporcionada","A",300,300,0,2.361148,0,0,3
"Base",8,14,"proporcionada","B",300,300,0,2.255568,0,0,3
"Base",8,14,"proporcionada","C",280,293.333333333333,11.5470053837925,2.310334,0,0,3
"Base",8,14,"proporcionada","D",280,293.333333333333,11.5470053837925,1.925043,0,0,3
"Mediano",15,14,"1514","A",792,817.666666666667,34.5880518869354,2.706363,0,0,3
"Mediano",15,14,"1514","B",768,796.333333333333,40.7226390762354,3.230986,0,0,3
"Mediano",15,14,"1514","C",806,821.666666666667,17.7857620959388,3.838022,0,0,3
"Mediano",15,14,"1514","D",787,832,59.9082632030006,3.530535,0,0,3
"Grande",30,20,"3020","A",1659,1708,77.2075125878305,8.055276,0,0,3
"Grande",30,20,"3020","B",1672,1755.66666666667,110.554662196279,8.219101,0,0,3
"Grande",30,20,"3020","C",1620,1776.33333333333,152.644467090469,8.066309,0,0,3
"Grande",30,20,"3020","D",1677,1783,98.2445927265211,7.872015,0,0,3
