caso,trabajos,maquinas,semilla_instancia,configuracion,semilla,mejor_makespan,tiempo_segundos,soluciones_infactivas,porcentaje_infactivas,metodo_kmeans,observacion
Base,8,14,proporcionada,A,1,280.0,0.692973,0,0.0,no_aplica,Poblacion 100% aleatoria
Base,8,14,proporcionada,A,2,300.0,0.719774,0,0.0,no_aplica,Poblacion 100% aleatoria
Base,8,14,proporcionada,A,3,300.0,0.760239,0,0.0,no_aplica,Poblacion 100% aleatoria
Base,8,14,proporcionada,B,1,300.0,0.791001,0,0.0,sklearn.KMeans,"14 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 6 aleatorios"
Base,8,14,proporcionada,B,2,300.0,0.737757,0,0.0,sklearn.KMeans,"14 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 6 aleatorios"
Base,8,14,proporcionada,B,3,300.0,0.757106,0,0.0,sklearn.KMeans,"14 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 6 aleatorios"
Base,8,14,proporcionada,C,1,300.0,0.792265,0,0.0,sklearn.KMeans,"8 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 8 KM perfil2_uso + SPT; orden [4, 5, 8, 7, 3, 1, 6, 2]; 4 aleatorios"
Base,8,14,proporcionada,C,2,300.0,0.714482,0,0.0,sklearn.KMeans,"8 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 8 KM perfil2_uso + SPT; orden [4, 5, 8, 7, 3, 1, 6, 2]; 4 aleatorios"
Base,8,14,proporcionada,C,3,280.0,0.695293,0,0.0,sklearn.KMeans,"8 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 8 KM perfil2_uso + SPT; orden [4, 5, 8, 7, 3, 1, 6, 2]; 4 aleatorios"
Base,8,14,proporcionada,D,1,280.0,0.691196,0,0.0,sklearn.KMeans,"4 KM perfil1_carga + SPT; orden [4, 5, 8, 1, 7, 3, 6, 2]; 4 KM perfil1_carga + LPT; orden [2, 6, 3, 7, 1, 5, 8, 4]; 4 KM perfil2_uso + MWR; orden [2, 6, 1, 3, 7, 5, 8, 4]; 4 KM perfil2_uso + MOPNR; orden [2, 6, 1, 7, 5, 8, 4, 3]; 4 aleatorios"
