caso,trabajos,maquinas,semilla_instancia,configuracion,mejor_makespan,promedio_makespan,desv_est_makespan,tiempo_promedio_segundos,soluciones_infactivas,porcentaje_infactivas,corridas
Base,8,14,proporcionada,A,280.0,293.3333333333333,11.547005383792515,0.724329,0,0.0,3
Base,8,14,proporcionada,B,300.0,300.0,0.0,0.761955,0,0.0,3
Base,8,14,proporcionada,C,280.0,293.3333333333333,11.547005383792515,0.734014,0,0.0,3
Base,8,14,proporcionada,D,280.0,286.6666666666667,11.547005383792515,0.675121,0,0.0,3
Grande,30,20,3020,A,1767.0,1834.0,59.57348403442592,5.488554,0,0.0,3
Grande,30,20,3020,B,1674.0,1737.3333333333333,69.08207678792911,5.017029,0,0.0,3
Grande,30,20,3020,C,1714.0,1743.6666666666667,46.28534685333289,5.159695,0,0.0,3
Grande,30,20,3020,D,1745.0,1764.6666666666667,19.5021366350801,4.922902,0,0.0,3
Mediano,15,14,1514,A,800.0,830.3333333333334,30.501366089625122,1.510743,0,0.0,3
Mediano,15,14,1514,B,811.0,841.6666666666666,26.558112382722783,1.452752,0,0.0,3
Mediano,15,14,1514,C,778.0,804.6666666666666,25.16611478423583,1.486155,0,0.0,3
Mediano,15,14,1514,D,791.0,807.3333333333334,18.876793513023692,1.684312,0,0.0,3
